0,1,2,3,4,5,6
260,26,9,0,6,8,20
10,47,5,1,3,3,5
8,4,89,2,21,12,24
58,44,73,722,109,45,134
17,18,30,8,324,14,67
11,8,12,3,8,115,5
51,8,30,5,92,8,486
