epoch,loss,accuracy,top_2_accuracy,top_3_accuracy,val_loss,val_accuracy,val_top_2_accuracy,val_top_3_accuracy,lr
1,1.6431806919101557,0.37718120217323303,0.5851390361785889,0.7297219634056091,1.4897818825026041,0.41933730244636536,0.6252036690711975,0.7577403783798218,0.001
2,1.3750495909272995,0.48053690791130066,0.6742089986801147,0.8035474419593811,1.4518033617673394,0.4557305872440338,0.6534492373466492,0.7805540561676025,0.001
3,1.2649005804171614,0.5084372162818909,0.705177366733551,0.8339405655860901,1.4897806377659537,0.46496468782424927,0.6751765608787537,0.8087995648384094,0.001
4,1.1954867289598927,0.5219559073448181,0.7279961705207825,0.8488015532493591,1.5267501642106993,0.4807170033454895,0.6898424625396729,0.8142313957214355,0.001
5,1.1205279190496882,0.5389261841773987,0.7451581954956055,0.8617449402809143,1.5974137631529768,0.4606192409992218,0.6773492693901062,0.8098859190940857,0.001
6,1.0533569557897653,0.5574305057525635,0.7604026794433594,0.8735378980636597,1.5238613187457348,0.4703965187072754,0.6860402226448059,0.8142313957214355,0.001
7,0.9915507965554212,0.5779482126235962,0.7821668386459351,0.89127516746521,1.5970234371669134,0.4470396637916565,0.6806083917617798,0.8202064037322998,0.0003
8,0.8712803277050432,0.6109300255775452,0.809108316898346,0.9053691029548645,1.5539251756953,0.4953829348087311,0.7088539004325867,0.8283541798591614,0.0003
9,0.8285426707761514,0.6289549469947815,0.8230105638504028,0.9165867567062378,1.571890012457732,0.49701249599456787,0.7180879712104797,0.8348723649978638,0.0003
10,0.7999075833354449,0.6400766968727112,0.8275167942047119,0.9208053946495056,1.602384856250997,0.49483975768089294,0.7034220695495605,0.8321564197540283,0.0003
