0,1,2,3,4,5,6
186,24,30,10,23,20,36
12,34,5,1,5,9,8
23,14,50,6,26,19,22
108,67,134,348,204,138,186
37,30,45,12,227,53,74
20,14,7,4,14,77,26
92,24,72,31,117,37,307
