epoch,loss,accuracy,top_2_accuracy,top_3_accuracy,val_loss,val_accuracy,val_top_2_accuracy,val_top_3_accuracy,lr
1,1.957356789196669,0.20210930705070496,0.39511024951934814,0.5511025786399841,1.8101970482494183,0.24280282855033875,0.4437805414199829,0.5931559205055237,1e-05
2,1.7728722754969464,0.27008628845214844,0.47401726245880127,0.6308724880218506,1.6732771157700363,0.2743074297904968,0.4823465645313263,0.6409559845924377,1e-05
3,1.642004319165377,0.3266538977622986,0.5378715395927429,0.6987535953521729,1.558660766665279,0.3443780541419983,0.550787627696991,0.7131993770599365,1e-05
4,1.536593893938988,0.3829338550567627,0.5971236824989319,0.7533077597618103,1.4498592533539456,0.4187941253185272,0.6241173148155212,0.7767517566680908,1e-05
5,1.4358986412690218,0.44611698389053345,0.6503355503082275,0.7942473888397217,1.359564268122802,0.48506247997283936,0.6822379231452942,0.8153177499771118,1e-05
6,1.3667985746524478,0.4907957911491394,0.6884947419166565,0.8139981031417847,1.2871704454139676,0.5268875360488892,0.7077675461769104,0.8343291878700256,1e-05
7,1.2864822451014533,0.5272291302680969,0.7172579169273376,0.8419942259788513,1.228217131899855,0.5426398515701294,0.7311244010925293,0.8473655581474304,1e-05
8,1.22633634132484,0.5522531270980835,0.7436241507530212,0.8546500205993652,1.164188476828762,0.5752308368682861,0.7463335394859314,0.8560565114021301,1e-05
9,1.1419407052710324,0.5926174521446228,0.7659635543823242,0.8688398599624634,1.1271522078159255,0.5817490220069885,0.7474198937416077,0.8571428656578064,1e-05
10,1.0951472036447645,0.6114094257354736,0.7834132313728333,0.8780441284179688,1.090782452218886,0.6051059365272522,0.7571972012519836,0.8647474050521851,1e-05
11,1.031454653890798,0.6326941251754761,0.7995206117630005,0.8918504118919373,1.0502762354501625,0.6349809765815735,0.7952200174331665,0.8962520360946655,1e-05
12,0.9858433708591406,0.6528283953666687,0.8154362440109253,0.9036433100700378,1.0223520748774555,0.6246604919433594,0.7881585955619812,0.8837588429450989,1e-05
13,0.9388444923257325,0.6678811311721802,0.8279961943626404,0.9133269190788269,0.9720903472820097,0.6512764692306519,0.8093427419662476,0.9005975127220154,1e-05
14,0.8971613482112281,0.6822627186775208,0.8393096923828125,0.9220517873764038,0.9727125070394219,0.6474741697311401,0.8082563877105713,0.9016838669776917,1e-05
15,0.8556317055785416,0.695781409740448,0.8528283834457397,0.9276126623153687,0.9538618814420726,0.6789788007736206,0.8343291878700256,0.9201520681381226,1e-05
16,0.817360092478082,0.7096835970878601,0.8603067994117737,0.931064248085022,0.944847147695271,0.6735469698905945,0.8299837112426758,0.9158066511154175,1e-05
17,0.7876538961068553,0.7161073684692383,0.8690316677093506,0.9388303160667419,0.9195751394026309,0.6713742613792419,0.8229223489761353,0.9120043516159058,1e-05
18,0.7620128177956447,0.7335570454597473,0.8725790977478027,0.940460205078125,0.9018140047675303,0.6827811002731323,0.8468223810195923,0.927756667137146,1e-05
19,0.7096344469263364,0.7520613670349121,0.8845637440681458,0.9442952871322632,0.8706336785502437,0.7131993770599365,0.8647474050521851,0.9321021437644958,1e-05
20,0.6971427708778491,0.7509108185768127,0.8904122710227966,0.9484180212020874,0.8846826850882307,0.6969038844108582,0.854426920413971,0.9261270761489868,1e-05
21,0.6552735926549478,0.765675961971283,0.8990412354469299,0.9555129408836365,0.8705122063562702,0.7110266089439392,0.8707224130630493,0.9413362145423889,1e-05
22,0.6261340675509445,0.7754554152488708,0.903259813785553,0.9555129408836365,0.8635069329993742,0.7186312079429626,0.8772406578063965,0.9407930374145508,1e-05
23,0.6103105850210583,0.7744007706642151,0.9034515619277954,0.9573346376419067,0.8759550174444283,0.7131993770599365,0.8756110668182373,0.9364475607872009,1e-05
24,0.5679209272447734,0.7927133440971375,0.9161073565483093,0.9632790088653564,0.8585058071896927,0.7294948101043701,0.884302020072937,0.9494839906692505,1e-05
25,0.5674285675055228,0.7853307723999023,0.9104506373405457,0.9613614678382874,0.8606136841401013,0.725149393081665,0.8826724886894226,0.9456816911697388,1e-05
26,0.5451583770868991,0.7958772778511047,0.9189836978912354,0.9657717943191528,0.8536336183029954,0.7170016169548035,0.8826724886894226,0.9435089826583862,1e-05
27,0.5080897374384012,0.811984658241272,0.9262703657150269,0.969606876373291,0.824898485318919,0.738728940486908,0.8908202052116394,0.9494839906692505,1e-05
28,0.4990869795030281,0.8106423616409302,0.9279961585998535,0.9693192839622498,0.8469469288261865,0.7398152947425842,0.8973383903503418,0.956545352935791,1e-05
29,0.47560907288571447,0.8185043334960938,0.9328858852386475,0.9732502102851868,0.8405807864270995,0.7409017086029053,0.8951656818389893,0.956545352935791,1e-05
30,0.4600008137731287,0.8297219276428223,0.9334611892700195,0.9744007587432861,0.8678674201224564,0.7398152947425842,0.8897338509559631,0.956545352935791,1e-05
