epoch,loss,accuracy,top_2_accuracy,top_3_accuracy,val_loss,val_accuracy,val_top_2_accuracy,val_top_3_accuracy,lr
1,2.0108536299443083,0.15302012860774994,0.31917545199394226,0.4806327819824219,1.930766564617333,0.17001628875732422,0.4383487105369568,0.5866376757621765,0.001
2,1.9770595710320988,0.18897411227226257,0.36730584502220154,0.5387344360351562,1.8570716687999687,0.343291699886322,0.4584465026855469,0.5985877513885498,0.001
3,1.9394156373244347,0.20076702535152435,0.37209969758987427,0.5382550358772278,1.8452673078166084,0.3096143305301666,0.4904943108558655,0.6159695982933044,0.001
4,1.9412727571745276,0.2090124636888504,0.3850431442260742,0.5458293557167053,1.9511296935602092,0.28843021392822266,0.4486691951751709,0.5882672667503357,0.001
5,1.9250210850716551,0.20556087791919708,0.386385440826416,0.5613614320755005,1.8423531545626606,0.31178706884384155,0.43454644083976746,0.6148832440376282,0.001
6,1.9003010849024626,0.2137104570865631,0.39702779054641724,0.5762224197387695,1.8691201110303175,0.2808256447315216,0.4551874101161957,0.6110809445381165,0.001
7,1.9018414295074009,0.20335569977760315,0.4000000059604645,0.5827420949935913,1.8442423618856427,0.2319391667842865,0.4334600865840912,0.5926126837730408,0.001
8,1.8836787962616348,0.20479387044906616,0.3920421898365021,0.580920398235321,1.80873900435011,0.24660511314868927,0.4350896179676056,0.6550787687301636,0.001
9,1.8793558763520486,0.2169702798128128,0.4101629853248596,0.5970277786254883,1.8367392020274738,0.18902769684791565,0.44160783290863037,0.6078218221664429,0.001
10,1.873190744862689,0.2109300047159195,0.41581976413726807,0.5988494753837585,1.817835228006714,0.32156437635421753,0.4942965805530548,0.6317219138145447,0.001
11,1.8603262763924018,0.2215723842382431,0.4279961585998535,0.6054649949073792,1.810344715535414,0.287343829870224,0.4486691951751709,0.6154264211654663,0.001
12,1.8523870182403097,0.23595397174358368,0.4297219514846802,0.6093000769615173,1.8378068441803335,0.25475284457206726,0.42748504877090454,0.5817490220069885,0.001
13,1.8524377367983385,0.22780440747737885,0.42818790674209595,0.6036433577537537,1.8155864425355621,0.26670289039611816,0.4622487723827362,0.6409559845924377,0.0003
14,1.803922930271262,0.27535954117774963,0.47574305534362793,0.6470757722854614,1.7803911959458019,0.26615968346595764,0.46170559525489807,0.6262900829315186,0.0003
15,1.7788694336681787,0.2849472761154175,0.48715245723724365,0.6579098701477051,1.7510313259914219,0.2623574137687683,0.46116241812705994,0.6458446383476257,0.0003
16,1.761527011195628,0.294822633266449,0.5069990158081055,0.6758389472961426,1.7320335856084912,0.29983705282211304,0.4877783954143524,0.6539924144744873,0.0003
17,1.73560594984349,0.32579100131988525,0.5147650837898254,0.6749760508537292,1.7093267627283,0.2623574137687683,0.4334600865840912,0.5915263295173645,0.0003
18,1.706778509207677,0.3307766020298004,0.5326941609382629,0.6884947419166565,1.6846555557541067,0.2857142984867096,0.46442151069641113,0.6322650909423828,0.0003
19,1.693626889652168,0.36538830399513245,0.546596348285675,0.6987535953521729,1.6184844496715076,0.3780553936958313,0.574687659740448,0.7218902707099915,0.0003
20,1.6524464765193936,0.39511024951934814,0.5740172863006592,0.7218599915504456,1.719305817553817,0.35035306215286255,0.5339489579200745,0.6892992854118347,0.0003
21,1.6242940982487606,0.4020134210586548,0.5813997983932495,0.7227228879928589,1.5971886692715365,0.44160783290863037,0.6013036370277405,0.7593699097633362,0.0003
22,1.5829168616639573,0.431064248085022,0.6048897504806519,0.7413231134414673,1.548319286331413,0.425312340259552,0.5947854518890381,0.7419880628585815,0.0003
23,1.5524361312103636,0.43892616033554077,0.6146692037582397,0.7551294565200806,1.6085244982479578,0.3329712152481079,0.5138511657714844,0.6545355916023254,0.0003
24,1.5418831540891331,0.44745925068855286,0.6240652203559875,0.7585810422897339,1.5323495614276121,0.3851167857646942,0.5415534973144531,0.725149393081665,0.0003
25,1.5113979154899502,0.46318313479423523,0.6289549469947815,0.7653883099555969,1.5759295139022653,0.31884846091270447,0.5111352801322937,0.648017406463623,0.0003
26,1.4636570186194386,0.47909876704216003,0.6565675735473633,0.7813997864723206,1.4626916173940634,0.4334600865840912,0.6235741376876831,0.763715386390686,0.0003
27,1.458718973861102,0.4807286560535431,0.6662511825561523,0.784467875957489,1.4193254072727035,0.49483975768089294,0.6773492693901062,0.8093427419662476,0.0003
28,1.4284472178864227,0.49175456166267395,0.6698945164680481,0.7976030707359314,1.4244343137883544,0.40901684761047363,0.608364999294281,0.7376425862312317,0.0003
29,1.4048083288900461,0.5047938823699951,0.6816874146461487,0.7992329597473145,1.5898661597923764,0.35741445422172546,0.545898973941803,0.6529060006141663,0.0003
30,1.3973863898850585,0.5076701641082764,0.6845637559890747,0.8050814867019653,1.3854725113515942,0.49972841143608093,0.6920152306556702,0.8153177499771118,0.0003
