0,1,2,3,4,5,6
187,11,12,13,19,11,76
17,38,1,4,2,6,6
42,10,16,19,17,1,55
330,39,83,369,70,13,281
103,51,40,89,78,12,105
44,31,8,18,16,15,30
205,33,43,58,68,6,267
