0,1,2,3,4,5,6
144,43,37,34,13,20,38
11,38,4,3,4,11,3
11,8,64,21,22,17,17
85,77,138,599,63,102,121
32,44,82,51,157,63,49
11,19,15,12,10,84,11
100,38,122,66,80,55,219
