class_id,class_name,fpr,tpr,threshold
1,surprise,0.0,0.0,inf
1,surprise,0.0,0.00303951367781155,0.9522855281829834
1,surprise,0.0,0.00911854103343465,0.8638750910758972
1,surprise,0.0003650967506389193,0.00911854103343465,0.8488546013832092
1,surprise,0.0003650967506389193,0.0182370820668693,0.8195258975028992
1,surprise,0.0007301935012778386,0.0182370820668693,0.8125323057174683
1,surprise,0.0007301935012778386,0.02127659574468085,0.8124037981033325
1,surprise,0.001095290251916758,0.02127659574468085,0.805004358291626
1,surprise,0.001095290251916758,0.02735562310030395,0.7910023927688599
1,surprise,0.0018254837531945967,0.02735562310030395,0.7858332395553589
1,surprise,0.0018254837531945967,0.0364741641337386,0.7770602703094482
1,surprise,0.002190580503833516,0.0364741641337386,0.7732701897621155
1,surprise,0.002190580503833516,0.0486322188449848,0.7600260376930237
1,surprise,0.002555677254472435,0.0486322188449848,0.7592461109161377
1,surprise,0.002555677254472435,0.057750759878419454,0.7415850162506104
1,surprise,0.0029207740051113546,0.057750759878419454,0.7403433322906494
1,surprise,0.0029207740051113546,0.060790273556231005,0.7388834357261658
1,surprise,0.0036509675063891934,0.060790273556231005,0.7368101477622986
1,surprise,0.0036509675063891934,0.06990881458966565,0.7045034170150757
1,surprise,0.004016064257028112,0.06990881458966565,0.6999408602714539
1,surprise,0.004016064257028112,0.0729483282674772,0.6971275210380554
1,surprise,0.004746257758305951,0.0729483282674772,0.6807708740234375
1,surprise,0.004746257758305951,0.0851063829787234,0.6675941944122314
1,surprise,0.00547645125958379,0.0851063829787234,0.6606955528259277
1,surprise,0.00547645125958379,0.0911854103343465,0.6555138826370239
1,surprise,0.005841548010222709,0.0911854103343465,0.6406326293945312
1,surprise,0.005841548010222709,0.09422492401215805,0.6368480920791626
1,surprise,0.006206644760861628,0.09422492401215805,0.6342575550079346
1,surprise,0.006206644760861628,0.1094224924012158,0.6175228357315063
1,surprise,0.007301935012778387,0.1094224924012158,0.6155869960784912
1,surprise,0.007301935012778387,0.11246200607902736,0.61387699842453
1,surprise,0.007667031763417305,0.11246200607902736,0.6117833852767944
1,surprise,0.007667031763417305,0.1337386018237082,0.5906470417976379
1,surprise,0.008397225264695144,0.1337386018237082,0.5841505527496338
1,surprise,0.008397225264695144,0.14893617021276595,0.5694013833999634
1,surprise,0.008762322015334063,0.14893617021276595,0.5673319697380066
1,surprise,0.008762322015334063,0.1519756838905775,0.5672931671142578
1,surprise,0.009492515516611903,0.1519756838905775,0.565795361995697
1,surprise,0.009492515516611903,0.16109422492401215,0.562691867351532
1,surprise,0.009857612267250822,0.16109422492401215,0.5592130422592163
1,surprise,0.009857612267250822,0.1641337386018237,0.5586146116256714
1,surprise,0.01095290251916758,0.1641337386018237,0.5557453632354736
1,surprise,0.01095290251916758,0.16717325227963525,0.5517566800117493
1,surprise,0.011317999269806499,0.16717325227963525,0.5510717630386353
1,surprise,0.011317999269806499,0.1702127659574468,0.5498645305633545
1,surprise,0.012048192771084338,0.1702127659574468,0.5496281981468201
1,surprise,0.012048192771084338,0.17933130699088146,0.5461853742599487
1,surprise,0.013508579773640015,0.17933130699088146,0.5396638512611389
1,surprise,0.013508579773640015,0.182370820668693,0.5382745862007141
1,surprise,0.014238773274917854,0.182370820668693,0.5341744422912598
1,surprise,0.014238773274917854,0.18541033434650456,0.533715009689331
1,surprise,0.014603870025556773,0.18541033434650456,0.5288012027740479
1,surprise,0.014603870025556773,0.1884498480243161,0.5285475850105286
1,surprise,0.014968966776195691,0.1884498480243161,0.5262271761894226
1,surprise,0.014968966776195691,0.19148936170212766,0.5253294110298157
1,surprise,0.01606425702811245,0.19148936170212766,0.5240318179130554
1,surprise,0.01606425702811245,0.20364741641337386,0.5156568884849548
1,surprise,0.016794450529390288,0.20364741641337386,0.5131805539131165
1,surprise,0.016794450529390288,0.2066869300911854,0.5130632519721985
1,surprise,0.01715954728002921,0.2066869300911854,0.5114115476608276
1,surprise,0.01715954728002921,0.20972644376899696,0.5106772184371948
1,surprise,0.017889740781307048,0.20972644376899696,0.5075478553771973
1,surprise,0.017889740781307048,0.2127659574468085,0.5073887705802917
1,surprise,0.019715224534501644,0.2127659574468085,0.4958314895629883
1,surprise,0.019715224534501644,0.2188449848024316,0.49388232827186584
1,surprise,0.02117561153705732,0.2188449848024316,0.49211567640304565
1,surprise,0.02117561153705732,0.24012158054711247,0.48154404759407043
1,surprise,0.02154070828769624,0.24012158054711247,0.477476567029953
1,surprise,0.02154070828769624,0.24316109422492402,0.4769103527069092
1,surprise,0.022635998539612998,0.24316109422492402,0.46904242038726807
1,surprise,0.022635998539612998,0.25227963525835867,0.4684458076953888
1,surprise,0.023001095290251915,0.25227963525835867,0.4661376178264618
1,surprise,0.023001095290251915,0.25835866261398177,0.46424320340156555
1,surprise,0.02628696604600219,0.25835866261398177,0.45701953768730164
1,surprise,0.02628696604600219,0.26443768996960487,0.45461300015449524
1,surprise,0.02665206279664111,0.26443768996960487,0.4540148079395294
1,surprise,0.02665206279664111,0.2674772036474164,0.4534810781478882
1,surprise,0.027382256297918947,0.2674772036474164,0.4489066004753113
1,surprise,0.027382256297918947,0.270516717325228,0.4483736455440521
1,surprise,0.028112449799196786,0.270516717325228,0.4443807303905487
1,surprise,0.028112449799196786,0.2735562310030395,0.44141173362731934
1,surprise,0.028842643300474625,0.2735562310030395,0.4368211328983307
1,surprise,0.028842643300474625,0.2826747720364742,0.4326763451099396
1,surprise,0.029937933552391383,0.2826747720364742,0.4285963177680969
1,surprise,0.029937933552391383,0.2857142857142857,0.428215891122818
1,surprise,0.031033223804308143,0.2857142857142857,0.4260411560535431
1,surprise,0.031033223804308143,0.2887537993920973,0.4249155819416046
1,surprise,0.03249361080686382,0.2887537993920973,0.42088496685028076
1,surprise,0.03249361080686382,0.2917933130699088,0.4207932651042938
1,surprise,0.03285870755750274,0.2917933130699088,0.4205390214920044
1,surprise,0.03285870755750274,0.2948328267477204,0.4202808737754822
1,surprise,0.03322380430814166,0.2948328267477204,0.419503390789032
1,surprise,0.03322380430814166,0.3009118541033435,0.41650107502937317
1,surprise,0.033953997809419496,0.3009118541033435,0.4139813184738159
1,surprise,0.033953997809419496,0.303951367781155,0.41334426403045654
1,surprise,0.03614457831325301,0.303951367781155,0.4092200994491577
1,surprise,0.03614457831325301,0.3100303951367781,0.4060991406440735
1,surprise,0.038335158817086525,0.3100303951367781,0.40185022354125977
1,surprise,0.038335158817086525,0.3161094224924012,0.40087687969207764
1,surprise,0.038700255567725446,0.3161094224924012,0.39967745542526245
1,surprise,0.038700255567725446,0.3191489361702128,0.39921125769615173
1,surprise,0.04089083607155896,0.3191489361702128,0.39079898595809937
1,surprise,0.04089083607155896,0.3282674772036474,0.3893294930458069
1,surprise,0.04125593282219788,0.3282674772036474,0.38874489068984985
1,surprise,0.04125593282219788,0.331306990881459,0.38842129707336426
1,surprise,0.0416210295728368,0.331306990881459,0.3870789706707001
1,surprise,0.0416210295728368,0.3343465045592705,0.3861004114151001
1,surprise,0.04381161007667032,0.3343465045592705,0.3820999264717102
1,surprise,0.04381161007667032,0.3373860182370821,0.3818686604499817
1,surprise,0.04417670682730924,0.3373860182370821,0.3801271915435791
1,surprise,0.04417670682730924,0.3434650455927052,0.3794429898262024
1,surprise,0.04600219058050383,0.3434650455927052,0.3749007284641266
1,surprise,0.04600219058050383,0.3495440729483283,0.37287551164627075
1,surprise,0.046732384081781674,0.3495440729483283,0.3692147135734558
1,surprise,0.046732384081781674,0.3525835866261398,0.3681931793689728
1,surprise,0.04782767433369843,0.3525835866261398,0.3662658929824829
1,surprise,0.04782767433369843,0.3556231003039514,0.36406171321868896
1,surprise,0.04819277108433735,0.3556231003039514,0.3635733723640442
1,surprise,0.04819277108433735,0.3677811550151976,0.3601752519607544
1,surprise,0.04965315808689302,0.3677811550151976,0.3567846715450287
1,surprise,0.04965315808689302,0.3708206686930091,0.3560817539691925
1,surprise,0.050383351588170866,0.3708206686930091,0.3541935980319977
1,surprise,0.050383351588170866,0.3738601823708207,0.35381174087524414
1,surprise,0.0511135450894487,0.3738601823708207,0.35361430048942566
1,surprise,0.0511135450894487,0.3768996960486322,0.35357511043548584
1,surprise,0.05147864184008762,0.3768996960486322,0.35355424880981445
1,surprise,0.05147864184008762,0.3799392097264438,0.3530704081058502
1,surprise,0.05366922234392114,0.3799392097264438,0.3497980535030365
1,surprise,0.05366922234392114,0.3829787234042553,0.3494931161403656
1,surprise,0.05403431909456006,0.3829787234042553,0.3486735224723816
1,surprise,0.05403431909456006,0.3860182370820669,0.348577618598938
1,surprise,0.054764512595837894,0.3860182370820669,0.34789416193962097
1,surprise,0.054764512595837894,0.3951367781155015,0.3465481698513031
1,surprise,0.055129609346476816,0.3951367781155015,0.34419986605644226
1,surprise,0.055129609346476816,0.3981762917933131,0.34401872754096985
1,surprise,0.056589996349032494,0.3981762917933131,0.34305205941200256
1,surprise,0.056589996349032494,0.4012158054711246,0.3425489366054535
1,surprise,0.05732018985031033,0.4012158054711246,0.3423168957233429
1,surprise,0.05732018985031033,0.40425531914893614,0.3412690758705139
1,surprise,0.05805038335158817,0.40425531914893614,0.34036949276924133
1,surprise,0.05805038335158817,0.4072948328267477,0.3402154743671417
