0,1,2,3,4,5,6
259,11,9,8,9,8,25
13,36,3,2,10,5,5
2,3,72,13,20,16,34
18,5,20,1002,43,18,79
4,2,20,18,365,7,62
6,4,9,4,2,127,10
32,1,24,24,65,11,523
