0,1,2,3,4,5,6
265,9,13,6,8,5,23
15,34,3,6,7,8,1
12,5,38,13,27,15,50
31,13,36,899,68,36,102
9,6,18,38,293,29,85
14,2,6,12,15,100,13
60,6,38,36,73,16,451
