0,1,2,3,4,5,6
208,15,5,25,17,14,45
5,44,1,8,3,10,3
9,2,72,12,16,19,30
17,15,23,995,51,25,59
5,19,21,53,299,19,62
3,8,14,11,10,111,5
50,8,54,51,100,17,400
