0,1,2,3,4,5,6
41,5,54,78,38,83,30
1,37,9,9,1,14,3
16,6,34,42,15,30,17
66,49,242,429,88,181,130
58,55,75,74,51,111,54
12,24,17,20,14,65,10
43,64,112,154,56,140,111
