0,1,2,3,4,5,6
90,1,20,90,2,42,84
7,26,1,21,3,12,4
29,1,11,28,4,13,74
72,8,41,769,4,82,209
98,7,20,90,14,95,154
27,5,4,42,3,65,16
82,1,37,60,21,22,457
