0,1,2,3,4,5,6
221,21,17,12,12,11,35
14,41,6,3,3,6,1
24,7,40,11,24,18,36
120,64,115,424,156,123,183
39,29,49,19,244,31,67
18,16,7,9,26,71,15
114,17,79,21,95,30,324
