epoch,loss,accuracy,top_2_accuracy,top_3_accuracy,val_loss,val_accuracy,val_top_2_accuracy,val_top_3_accuracy,lr
1,1.9324209670206731,0.17555129528045654,0.32703739404678345,0.4763182997703552,1.817074771681148,0.21238456666469574,0.3932645320892334,0.550787627696991,1e-05
2,1.7192787646104368,0.27497604489326477,0.4583892524242401,0.6135187149047852,1.7023084998325055,0.28028246760368347,0.48343291878700256,0.6398696303367615,1e-05
3,1.5473135967611238,0.3623202443122864,0.5579098463058472,0.7020134329795837,1.5944501953497974,0.3481803238391876,0.5627376437187195,0.7191743850708008,1e-05
4,1.369610085606232,0.4392138123512268,0.6429530382156372,0.7765100598335266,1.5118343701251236,0.4003259241580963,0.6013036370277405,0.7609994411468506,1e-05
5,1.2095597799306634,0.5061361193656921,0.7067114114761353,0.8276126384735107,1.443345216549589,0.4508419334888458,0.6485605835914612,0.7919608950614929,1e-05
6,1.0625949354665505,0.578331708908081,0.7599232792854309,0.863758385181427,1.3861318617524951,0.458989679813385,0.6681151390075684,0.812058687210083,1e-05
7,0.9297074271299923,0.6340364217758179,0.7966442704200745,0.8872483372688293,1.3631228916610083,0.48995110392570496,0.6990765929222107,0.8305268883705139,1e-05
8,0.8058859728669617,0.6765100955963135,0.8352828621864319,0.913902223110199,1.3270320842150822,0.5176534652709961,0.7191743850708008,0.831070065498352,1e-05
9,0.6947953064055366,0.7234899401664734,0.8630872368812561,0.9289549589157104,1.3085089680100834,0.531233012676239,0.7403584718704224,0.8451928496360779,1e-05
10,0.5989907678227411,0.7636625170707703,0.8904122710227966,0.945349931716919,1.3138698338814756,0.5497012734413147,0.7501357793807983,0.8538837432861328,1e-05
11,0.49258792552943426,0.8135187029838562,0.9153403639793396,0.9577181339263916,1.3007249833124608,0.5659967660903931,0.7626290321350098,0.8663769960403442,1e-05
12,0.42062415572049405,0.8391179442405701,0.9333652853965759,0.9683604836463928,1.311064868954975,0.5882672667503357,0.7718631029129028,0.8739815354347229,1e-05
13,0.3466307507493923,0.8739213943481445,0.9502397179603577,0.978619396686554,1.332759463029475,0.5947854518890381,0.7816404104232788,0.8804997205734253,1e-05
14,0.28529932249769613,0.9008628726005554,0.965675950050354,0.9853307604789734,1.3569554345624593,0.5936990976333618,0.7696903944015503,0.8848451972007751,1e-05
15,0.2326889178925484,0.9250239729881287,0.9744966626167297,0.9902205467224121,1.3750712682798076,0.6067354679107666,0.7838131189346313,0.8837588429450989,1e-05
16,0.19781880015551986,0.9418983459472656,0.9811121821403503,0.9930009841918945,1.3885880594406357,0.6099945902824402,0.7887017726898193,0.8875610828399658,3e-06
17,0.1577566244401045,0.9612655639648438,0.9883029460906982,0.9966443181037903,1.4074241974507902,0.6105377674102783,0.7865290641784668,0.8881043195724487,3e-06
18,0.14588663538601804,0.9664429426193237,0.9903163909912109,0.9967401623725891,1.4048998392774383,0.6045627593994141,0.7919608950614929,0.8902770280838013,3e-06
19,0.13794329222416718,0.9661553502082825,0.9906998872756958,0.9973154067993164,1.3972187469926365,0.6137968301773071,0.7914177179336548,0.8913633823394775,3e-06
