epoch,loss,accuracy,top_2_accuracy,top_3_accuracy,val_loss,val_accuracy,val_top_2_accuracy,val_top_3_accuracy,lr
1,1.5702570334719788,0.42751678824424744,0.6209012269973755,0.7486097812652588,1.2186655360418193,0.5621944665908813,0.7452471256256104,0.8663769960403442,1e-05
2,1.0240385811829498,0.6509108543395996,0.8205177187919617,0.9024928212165833,1.0295359865923668,0.632808268070221,0.7968495488166809,0.8935361504554749,1e-05
3,0.7747196823387109,0.7441993951797485,0.8845637440681458,0.9445829391479492,0.9185219977227066,0.7126561403274536,0.8652905821800232,0.9299293756484985,1e-05
4,0.5984977702852178,0.8158197402954102,0.9259827136993408,0.9632790088653564,0.8794798673267665,0.7349266409873962,0.8804997205734253,0.9369907379150391,1e-05
5,0.4764064805562521,0.8599233031272888,0.9522531032562256,0.9806327819824219,0.85226090801986,0.7430744171142578,0.8913633823394775,0.9456816911697388,1e-05
6,0.3755760259733447,0.9018216729164124,0.9680728912353516,0.9881111979484558,0.8223299887243786,0.7550244331359863,0.8962520360946655,0.9462248682975769,1e-05
7,0.298221625926282,0.9315436482429504,0.9813998341560364,0.9934803247451782,0.8160473390936139,0.7653449177742004,0.9038565754890442,0.9505703449249268,1e-05
8,0.23597334185588395,0.9551294445991516,0.9895493984222412,0.9956855177879333,0.8089244652383681,0.7789245247840881,0.9038565754890442,0.9598044753074646,1e-05
9,0.18684196572175762,0.969606876373291,0.9940556287765503,0.9980824589729309,0.8207463032522,0.772406280040741,0.9092884063720703,0.9581748843193054,1e-05
10,0.1484892858969171,0.9824544787406921,0.9969319105148315,0.9987536072731018,0.8237122364629552,0.7805540561676025,0.9125475287437439,0.9549158215522766,1e-05
11,0.11803112988389693,0.9891658425331116,0.9981783032417297,0.9995205998420715,0.8145429328173026,0.7908745408058167,0.9060293436050415,0.9532862305641174,1e-05
12,0.09776011908271512,0.9926174283027649,0.9990411996841431,0.9995205998420715,0.8293463928358895,0.7859858870506287,0.9060293436050415,0.9543726444244385,1e-05
13,0.0777811474076625,0.9962607622146606,0.9994247555732727,0.9998082518577576,0.8405415146069835,0.7816404104232788,0.9109179973602295,0.9549158215522766,3e-06
14,0.06324179425392717,0.9985618591308594,0.9999040961265564,1.0,0.8365683339815435,0.7876154184341431,0.908202052116394,0.9543726444244385,3e-06
15,0.05876643333516208,0.9986577033996582,0.999712347984314,1.0,0.8393100696954308,0.7892449498176575,0.9098315834999084,0.9532862305641174,3e-06
16,0.05684610762895011,0.9984659552574158,0.9999040961265564,0.9999040961265564,0.8415569103586485,0.7897881865501404,0.9109179973602295,0.9549158215522766,3e-06
