experiment_name,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,specificity_macro,top_2_accuracy,top_3_accuracy,mcc,cohen_kappa,auc_macro_ovr,inference_total_seconds,inference_ms_per_image,num_parameters
custom_cnn_fine_tuning_aug,0.1786179921773142,0.156329131398181,0.1987978456196117,0.156329131398181,0.1181077704998267,0.3702147732138609,0.1786179921773142,0.1324828464695062,0.8590510678728858,0.3259452411994785,0.4670795306388526,0.0157475656660686,0.0132698874100325,0.572591695508273,18.633877499960363,6.073623696206115,1309415
custom_cnn_fine_tuning_noaug,0.2089308996088657,0.1512383828696819,0.1622496527877384,0.1512383828696819,0.1353340552337263,0.2794961384152123,0.2089308996088657,0.2164864752353209,0.8617568894320516,0.4044980443285528,0.5453063885267275,0.028528243831716,0.0266109373837766,0.5556061796601026,12.24374059960246,3.990788982921272,1309415
custom_cnn_scratch_aug,0.3161668839634941,0.3059592205802398,0.2792817395124898,0.3059592205802398,0.252615539439913,0.4096195904700754,0.3161668839634941,0.323719387997656,0.8824850962701254,0.508148631029987,0.6646023468057366,0.1719229247717055,0.1626114668243091,0.6842718846865392,16.655004700180143,5.428619524178665,1309415
custom_cnn_scratch_noaug,0.5912646675358539,0.5252972799215873,0.4898816599613485,0.5252972799215873,0.4891331822287024,0.6407639523710599,0.5912646675358539,0.6096265656810076,0.9295655276516356,0.7728161668839635,0.863102998696219,0.4805267605702293,0.4776348620337998,0.8612790372921691,18.69433550024405,6.09332969369102,1309415
custom_cnn_transfer_aug,0.3207301173402868,0.3841243220267833,0.3756028070499307,0.3841243220267833,0.3171531316198389,0.5443555269622825,0.3207301173402868,0.3280316772072827,0.8897122544653275,0.4996740547588005,0.644393741851369,0.2306654320662044,0.211511415964345,0.7624740622331798,17.700125999748707,5.769271838249252,1309415
custom_cnn_transfer_noaug,0.2503259452411995,0.2671871142763296,0.2189706694110326,0.2671871142763296,0.203678803741768,0.336132627550371,0.2503259452411995,0.2704334584191066,0.8727143544753015,0.4335071707953064,0.5935462842242504,0.1006507676214166,0.0961096360958709,0.6272653626404916,17.617519200313836,5.742346545082737,1309415
densenet121_fine_tuning_aug,0.7578226857887875,0.723678586582932,0.6592981731438917,0.723678586582932,0.6848174324338322,0.7851778582158403,0.7578226857887875,0.7650350140822223,0.9593253990254232,0.8930899608865711,0.947522816166884,0.6938799423503783,0.6903136650051062,0.9473036330033526,18.98706000018865,6.18874185143046,7218567
densenet121_fine_tuning_noaug,0.6779661016949152,0.5935100470201513,0.5633458445820752,0.5935100470201513,0.5751445738259836,0.6938776380408589,0.6779661016949152,0.6824036394887307,0.9439971097504204,0.8357235984354628,0.9142764015645372,0.5859697378589916,0.58424386766069,0.8918220299641781,17.705823800060898,5.771129009146317,7218567
densenet121_scratch_aug,0.6029986962190352,0.617878383706573,0.534770002832088,0.617878383706573,0.5437574548139618,0.7127087125579868,0.6029986962190352,0.6306501091656577,0.9355766726243656,0.7894393741851369,0.8872229465449805,0.5245865471380928,0.512363415850932,0.909655739012208,17.363354800269008,5.659502868405804,7218567
densenet121_scratch_noaug,0.7011082138200783,0.643815866035865,0.5924888327339913,0.643815866035865,0.610850561202021,0.7293367557623859,0.7011082138200783,0.7114390861789313,0.9489489864507884,0.8679921773142112,0.9390482398956976,0.6175527547431733,0.6158150552218166,0.92064853762931,17.69074649969116,5.766214634840665,7218567
densenet121_transfer_aug,0.4449152542372881,0.4655421326061419,0.3943254006390526,0.4655421326061419,0.3925555194122627,0.5724722579889979,0.4449152542372881,0.4615337756664451,0.9080352326858444,0.6427640156453716,0.7672750977835724,0.3443623332421628,0.3311573690212988,0.8116446042165932,17.55205800011754,5.721009778395548,7218567
densenet121_transfer_noaug,0.4726205997392438,0.4660914249211932,0.4008747521815684,0.4660914249211932,0.3980171376135838,0.57290326290862,0.4726205997392438,0.4953382029943929,0.9113123577081382,0.6613428943937418,0.7894393741851369,0.3606589156360994,0.3514782670496114,0.8222602431880291,18.038802600000054,5.879661864406797,7218567
efficientnetb0_fine_tuning_aug,0.6659061277705346,0.670478297876189,0.579328040350866,0.670478297876189,0.6040895289494135,0.734207093879932,0.6659061277705346,0.6788708777808787,0.9446483580259368,0.833767926988266,0.9051499348109516,0.5924606383327132,0.5829669856046893,0.922747073749263,12.034760000184178,3.922672751037868,4337795
efficientnetb0_fine_tuning_noaug,0.7001303780964798,0.6500586072440625,0.5983826230459593,0.6500586072440625,0.6182810424222965,0.729552836448851,0.7001303780964798,0.7099567621384165,0.9489674932096422,0.8761408083441982,0.9413298565840938,0.6185855278116552,0.6160961707274146,0.9229887350130042,11.268201400060208,3.672816623226925,4337795
efficientnetb0_scratch_aug,0.4667535853976532,0.3493121177704617,0.3518307409130409,0.3493121177704617,0.3253184162056949,0.4655621295605673,0.4667535853976532,0.4432713862514245,0.9038374533175232,0.5945241199478487,0.7310951760104303,0.3093787761519264,0.3023175839669132,0.7361596418255366,11.305436300113795,3.684953161705931,4337795
efficientnetb0_scratch_noaug,0.64374185136897,0.6111233175221024,0.566959638518503,0.6111233175221024,0.5695201104259009,0.7150586258972991,0.64374185136897,0.6686919709435322,0.9406116220292102,0.8393089960886571,0.9159061277705346,0.5569961967123923,0.5502863512690006,0.9066106854457257,11.06104899989441,3.605296284189834,4337795
efficientnetb0_transfer_aug,0.3624511082138201,0.4129312497161234,0.3539506353501814,0.4129312497161234,0.3235836382226749,0.5477637931884098,0.3624511082138201,0.3704192486574073,0.8954504454154977,0.5697522816166884,0.7089308996088657,0.2635599349946482,0.2476006252893117,0.7679937122036921,11.002598800230771,3.586244719762312,4337795
efficientnetb0_transfer_noaug,0.4559973924380704,0.4576837630732376,0.3994451212974924,0.4576837630732376,0.3877334502577053,0.5775971523952852,0.4559973924380704,0.4886258290752512,0.9100064760250278,0.6499348109517601,0.7868318122555411,0.3481762283305381,0.3383147073467534,0.803171930739034,11.471465399954468,3.739069556699631,4337795
