0,1,2,3,4,5,6
234,34,6,5,13,23,14
13,42,9,1,3,6,0
9,4,88,2,17,21,19
39,34,159,700,113,67,73
7,9,60,16,306,34,46
8,3,24,0,7,119,1
51,9,106,16,116,21,361
