epoch,loss,accuracy,top_2_accuracy,top_3_accuracy,val_loss,val_accuracy,val_top_2_accuracy,val_top_3_accuracy,lr
1,1.6968166712032182,0.3505273163318634,0.5518696308135986,0.699999988079071,1.570039599437807,0.4046713709831238,0.627919614315033,0.763715386390686,0.001
2,1.439018063165769,0.44870564341545105,0.6470757722854614,0.7868648171424866,1.5319400217013797,0.4046713709831238,0.6197718381881714,0.7593699097633362,0.001
3,1.312818961792687,0.48437198996543884,0.6870565414428711,0.8179290294647217,1.5446280324867017,0.44160783290863037,0.6453014612197876,0.7903313636779785,0.001
4,1.2205051143697445,0.5035474300384521,0.7107382416725159,0.8379673957824707,1.5613531799565055,0.39706680178642273,0.6219446063041687,0.7566539645195007,0.001
5,1.1392300870023089,0.5297219753265381,0.7288590669631958,0.8486098051071167,1.6348148929496487,0.44595327973365784,0.6648560762405396,0.807170033454895,0.001
6,1.0607425168513795,0.5497602820396423,0.7546500563621521,0.8677852153778076,1.6495776293007076,0.42259642481803894,0.6306354999542236,0.777294933795929,0.001
7,0.9777817537777719,0.5678811073303223,0.7759348154067993,0.8826462030410767,1.7037679145091387,0.4388919174671173,0.6588810682296753,0.7876154184341431,0.0003
8,0.8610525092136826,0.6108341217041016,0.8047938346862793,0.9018216729164124,1.6981722049127772,0.4524714946746826,0.6730037927627563,0.8087995648384094,0.0003
9,0.7970185283503619,0.6288590431213379,0.8232981562614441,0.9199424982070923,1.7324137109767348,0.4600760340690613,0.6871265769004822,0.8191200494766235,0.0003
10,0.7631736797660104,0.6490891575813293,0.8322147727012634,0.9237775802612305,1.7446561911583982,0.4519282877445221,0.6827811002731323,0.8196632266044617,0.0003
