0,1,2,3,4,5,6
185,37,16,8,9,16,58
8,47,5,3,3,5,3
13,12,39,12,17,14,53
84,73,78,552,75,123,200
23,64,49,41,168,37,96
4,30,11,12,16,70,19
75,25,49,46,55,41,389
