epoch,loss,accuracy,top_2_accuracy,top_3_accuracy,val_loss,val_accuracy,val_top_2_accuracy,val_top_3_accuracy,lr
1,1.3856590957563881,0.5224353075027466,0.7071908116340637,0.8221476674079895,1.119202214275476,0.6175991296768188,0.802281379699707,0.8864747285842896,0.001
2,0.6779448766722089,0.7581974864006042,0.89127516746521,0.9464045763015747,1.1023668423416433,0.6290059685707092,0.7990222573280334,0.8853883743286133,0.001
3,0.3198578534167428,0.8746883869171143,0.9578139781951904,0.9824544787406921,1.2057344575474795,0.6844106316566467,0.8397610187530518,0.9185225367546082,0.001
4,0.16730617551081248,0.9357622265815735,0.9846596121788025,0.9937679767608643,1.3751305820565065,0.6768060922622681,0.8435632586479187,0.9114611744880676,0.001
5,0.1021301373660793,0.9592521786689758,0.9918504357337952,0.9976030588150024,1.4540934100998024,0.7007061243057251,0.8517110347747803,0.9168930053710938,0.001
6,0.07551560208615726,0.9685522317886353,0.9953020215034485,0.9989453554153442,1.620637871466662,0.6768060922622681,0.8468223810195923,0.9174361824989319,0.001
7,0.06456841664140542,0.9726749658584595,0.9970278143882751,0.9990411996841431,1.7096280804928847,0.6740901470184326,0.8386746048927307,0.9109179973602295,0.0003
8,0.04376246484491192,0.9843720197677612,0.9980824589729309,0.9991371035575867,1.6182113539777587,0.691472053527832,0.8500815033912659,0.9158066511154175,0.0003
9,0.024910484142521127,0.9926174283027649,0.9995205998420715,1.0,1.6597653746540166,0.6969038844108582,0.8549700975418091,0.9223248362541199,0.0003
10,0.02006492760185999,0.9943432211875916,0.9998082518577576,1.0,1.7376442674642538,0.695274293422699,0.8479087352752686,0.91797935962677,0.0003
