0,1,2,3,4,5,6
193,61,6,8,16,26,19
3,55,2,2,7,3,2
1,5,75,9,20,38,12
13,25,53,925,98,29,42
2,8,30,16,359,27,36
1,13,7,2,3,134,2
30,13,94,24,119,27,373
