0,1,2,3,4,5,6
182,34,27,19,20,13,34
13,40,7,3,4,4,3
15,14,64,16,11,14,26
94,65,149,575,61,114,127
27,69,64,41,153,52,72
9,23,22,14,6,72,16
93,42,110,48,37,37,313
