0,1,2,3,4,5,6
153,48,16,27,13,42,30
8,42,6,2,3,12,1
7,13,53,19,18,38,12
69,90,99,574,88,169,96
23,78,48,42,159,84,44
7,32,9,12,7,89,6
74,56,84,67,79,108,212
