0,1,2,3,4,5,6
260,18,11,5,10,5,20
13,42,3,4,8,2,2
7,1,74,12,29,12,25
46,12,58,906,53,29,81
7,8,32,28,319,17,67
9,7,13,7,11,105,10
59,7,50,23,84,15,442
