epoch,loss,accuracy,top_2_accuracy,top_3_accuracy,val_loss,val_accuracy,val_top_2_accuracy,val_top_3_accuracy,lr
1,1.7068921994842938,0.3372003734111786,0.5442953109741211,0.6951102614402771,1.6416418021428463,0.29494839906692505,0.4693101644515991,0.6241173148155212,0.001
2,1.5529880700381125,0.4101629853248596,0.6114094257354736,0.7542665600776672,1.631004486441418,0.30689841508865356,0.48669201135635376,0.6252036690711975,0.001
3,1.5008366322128794,0.4300095736980438,0.631064236164093,0.7674017548561096,1.5834734897649787,0.3139598071575165,0.5252580046653748,0.6789788007736206,0.001
4,1.4796612834884701,0.4429530203342438,0.6418983936309814,0.7789070010185242,1.6430098531946806,0.34166213870048523,0.521998941898346,0.6512764692306519,0.001
5,1.448273678479693,0.44534996151924133,0.6429530382156372,0.7791946530342102,1.6028523732954105,0.31667572259902954,0.5274307727813721,0.6762629151344299,0.001
6,1.42189990424927,0.44947266578674316,0.6586769223213196,0.7902204990386963,1.5945945056413322,0.31558936834335327,0.517110288143158,0.6681151390075684,0.001
7,1.4323816941317067,0.4522531032562256,0.6538830399513245,0.7868648171424866,1.5939482709495092,0.31341663002967834,0.49864205718040466,0.6523628234863281,0.001
8,1.405002941129763,0.46001917123794556,0.667976975440979,0.802588701248169,1.5802851763838728,0.3427484929561615,0.5399239659309387,0.6860402226448059,0.001
9,1.388227195890615,0.45877277851104736,0.675743043422699,0.8015340566635132,1.57844351252287,0.36175990104675293,0.5703421831130981,0.7104834318161011,0.001
10,1.3914216369819092,0.4714285731315613,0.6706615686416626,0.7982742190361023,1.6160977932825353,0.3677349388599396,0.5812058448791504,0.7208039164543152,0.001
11,1.3550007805042505,0.4710450768470764,0.6819750666618347,0.8100671172142029,1.5937919399130933,0.32373708486557007,0.5258011817932129,0.6811515688896179,0.001
12,1.3585655007814972,0.4696069061756134,0.675743043422699,0.8036433458328247,1.6095328135764968,0.3465507924556732,0.5491580367088318,0.700162947177887,0.001
13,1.351957914813253,0.4754554033279419,0.683509111404419,0.8106423616409302,1.6118359543395262,0.34872353076934814,0.5583921670913696,0.7055947780609131,0.001
14,1.3613381131154807,0.46653881669044495,0.6803451776504517,0.809395968914032,1.5664794080157698,0.35415536165237427,0.5714285969734192,0.7093970775604248,0.001
15,1.333322842489153,0.4807286560535431,0.6883029937744141,0.8176414370536804,1.5985027080900576,0.34166213870048523,0.5426398515701294,0.6925584077835083,0.001
16,1.3196651920033324,0.4815915524959564,0.6961649060249329,0.8261744976043701,1.6194513547944998,0.33514395356178284,0.5420966744422913,0.6936447620391846,0.001
17,1.3050487317609192,0.4840843677520752,0.6948226094245911,0.8209971189498901,1.5867636415830195,0.35687127709388733,0.5801194906234741,0.7332971096038818,0.001
18,1.3345521352206529,0.4755513072013855,0.6894534826278687,0.8209971189498901,1.6503421252736057,0.33568713068962097,0.5393807888031006,0.7055947780609131,0.001
19,1.2949278226406211,0.48974111676216125,0.6991370916366577,0.8262704014778137,1.5858625229255847,0.3378598690032959,0.5551331043243408,0.7197175621986389,0.0003
20,1.2689024317641728,0.4932885766029358,0.6999041438102722,0.8270373940467834,1.5896162622522751,0.34872353076934814,0.5627376437187195,0.7240630388259888,0.0003
21,1.2695507502167245,0.4920421838760376,0.7046021223068237,0.8335570693016052,1.5871784657579864,0.3650190234184265,0.5806626677513123,0.728951632976532,0.0003
22,1.2581762180803835,0.5007669925689697,0.7050815224647522,0.8314477205276489,1.6034646733891116,0.3476371467113495,0.5497012734413147,0.7077675461769104,0.0003
