0,1,2,3,4,5,6
208,18,11,8,14,52,18
11,32,5,1,4,17,4
22,9,51,3,7,51,17
54,38,146,636,58,182,71
39,32,72,29,68,136,102
7,9,18,4,1,118,5
116,18,123,18,52,88,265
